Steps, 52,252,504
MC = 10
K = 90.000000,23.499028,23.505061
K = 95.000000,21.117112,21.026536
K = 100.000000,18.874680,18.781786
K = 105.000000,16.854414,16.757064
K = 110.000000,15.033584,14.937209
MC = 50
K = 90.000000,23.330351,23.505061
K = 95.000000,20.847769,21.026536
K = 100.000000,18.596156,18.781786
K = 105.000000,16.566772,16.757064
K = 110.000000,14.743237,14.937209
MC = 100
K = 90.000000,23.349701,23.505061
K = 95.000000,20.811883,21.026536
K = 100.000000,18.558489,18.781786
K = 105.000000,16.527482,16.757064
K = 110.000000,14.704465,14.937209
MC = 200
K = 90.000000,23.698216,23.505061
K = 95.000000,21.240850,21.026536
K = 100.000000,19.005630,18.781786
K = 105.000000,16.986432,16.757064
K = 110.000000,15.168947,14.937209
MC = 500
K = 90.000000,23.652664,23.505061
K = 95.000000,21.188744,21.026536
K = 100.000000,18.950563,18.781786
K = 105.000000,16.929955,16.757064
K = 110.000000,15.112244,14.937209
