Steps, 52,252,504
MC = 10
K = 90.000000,11.215689,10.845159
K = 95.000000,13.643492,13.218862
K = 100.000000,16.271494,15.826340
K = 105.000000,19.110882,18.653845
K = 110.000000,22.150367,21.686218
MC = 50
K = 90.000000,10.715633,10.845159
K = 95.000000,13.079782,13.218862
K = 100.000000,15.682147,15.826340
K = 105.000000,18.507071,18.653845
K = 110.000000,21.535378,21.686218
MC = 100
K = 90.000000,10.670846,10.845159
K = 95.000000,13.057435,13.218862
K = 100.000000,15.659280,15.826340
K = 105.000000,18.482685,18.653845
K = 110.000000,21.511867,21.686218
MC = 200
K = 90.000000,10.869626,10.845159
K = 95.000000,13.241805,13.218862
K = 100.000000,15.850101,15.826340
K = 105.000000,18.678328,18.653845
K = 110.000000,21.710548,21.686218
MC = 500
K = 90.000000,10.749493,10.845159
K = 95.000000,13.114052,13.218862
K = 100.000000,15.717251,15.826340
K = 105.000000,18.541691,18.653845
K = 110.000000,21.571996,21.686218
