Steps, 52,252,504,1008,2016
Sigma = 0.100000
K = 90.000000,0.356887,0.368063,0.371073,0.378908
K = 95.000000,1.107353,1.116082,1.119646,1.127280
K = 100.000000,2.618048,2.622520,2.624065,2.626431
K = 105.000000,5.066730,5.053138,5.050554,5.044767
K = 110.000000,8.374945,8.360464,8.356227,8.344957
Sigma = 0.200000
K = 90.000000,2.741435,2.754750,2.758683,2.769325
K = 95.000000,4.363634,4.368211,4.368090,4.372028
K = 100.000000,6.466533,6.465914,6.461621,6.457957
K = 105.000000,9.068448,9.044443,9.038205,9.024846
K = 110.000000,12.112886,12.069457,12.062813,12.042407
Sigma = 0.300000
K = 90.000000,5.962508,5.951436,5.950800,5.946349
K = 95.000000,7.973341,7.961407,7.965338,7.968935
K = 100.000000,10.302973,10.312567,10.316556,10.327862
K = 105.000000,12.946498,12.980876,12.988342,13.008436
K = 110.000000,15.890896,15.950651,15.961144,15.989035
Sigma = 0.400000
K = 90.000000,9.332085,9.341996,9.342803,9.347991
K = 95.000000,11.595624,11.619550,11.624893,11.638414
K = 100.000000,14.105925,14.152092,14.161499,14.183289
K = 105.000000,16.871808,16.926411,16.936883,16.968089
K = 110.000000,19.873986,19.925334,19.937362,19.976329
Sigma = 0.500000
K = 90.000000,12.760616,12.793386,12.799657,12.820048
K = 95.000000,15.251182,15.278037,15.286427,15.311611
K = 100.000000,17.928695,17.958552,17.971286,18.006093
K = 105.000000,20.766964,20.832324,20.845268,20.890659
K = 110.000000,23.810633,23.883980,23.900003,23.952118
