Steps, 52,252,504,1008,2016
Sigma = 0.100000
K = 90.000000,13.018003,13.028560,13.031402,13.038810
K = 95.000000,8.916242,8.924352,8.927747,8.934954
K = 100.000000,5.574709,5.578562,5.579939,5.581877
K = 105.000000,3.171164,3.156952,3.154200,3.147986
K = 110.000000,1.627151,1.612051,1.607645,1.595948
Sigma = 0.200000
K = 90.000000,15.412043,15.419612,15.422099,15.429227
K = 95.000000,12.182014,12.180846,12.179279,12.179702
K = 100.000000,9.432686,9.426321,9.420581,9.413403
K = 105.000000,7.182373,7.152623,7.144938,7.128065
K = 110.000000,5.374583,5.325409,5.317319,5.293398
Sigma = 0.300000
K = 90.000000,18.586071,18.594477,18.598744,18.606251
K = 95.000000,15.744676,15.752221,15.761054,15.776609
K = 100.000000,13.222081,13.251153,13.260045,13.283308
K = 105.000000,11.013378,11.067234,11.079603,11.111654
K = 110.000000,9.105548,9.184781,9.200177,9.240027
Sigma = 0.400000
K = 90.000000,21.909931,21.962433,21.974575,22.007893
K = 95.000000,19.321242,19.387760,19.404438,19.446088
K = 100.000000,16.979315,17.068074,17.088816,17.138735
K = 105.000000,14.892971,14.990165,15.011972,15.071308
K = 110.000000,13.042921,13.136860,13.160223,13.227320
Sigma = 0.500000
K = 90.000000,25.259721,25.377267,25.405131,25.479950
K = 95.000000,22.898060,23.009690,23.039673,23.119285
K = 100.000000,20.723345,20.837978,20.872304,20.961540
K = 105.000000,18.709386,18.859521,18.894059,18.993878
K = 110.000000,16.900827,17.058950,17.096567,17.203109
